
C:\Users\John\Documents\GitHub\CS470\HW4>make tar
tar -cvf nn.tar makefile NN.cpp Matrix.cpp NN.h Matrix.h
makefile
NN.cpp
Matrix.cpp
NN.h
Matrix.h
ls -l nn*tar
-rw-r--r-- 1 John Administrators 20480 Dec 10 17:09 nn.tar

C:\Users\John\Documents\GitHub\CS470\HW4>make
g++  -g -Wall  -c -o NN.o NN.cpp
g++ -g -Wall -DCPLUSPLUS -DMallocHelp  NN.o Matrix.o -lm -o nn

C:\Users\John\Documents\GitHub\CS470\HW4>nn
150 5
0.992953 : 0.00798069 : 1.71451e-009 || TEST(0)  GOAL:0
0.976845 : 0.0592818 : 9.36967e-009 || TEST(0)  GOAL:0
0.990366 : 0.00961545 : 2.36184e-009 || TEST(0)  GOAL:0
0.989404 : 0.0166798 : 3.10872e-009 || TEST(0)  GOAL:0
0.993343 : 0.00660812 : 1.53094e-009 || TEST(0)  GOAL:0
0.993311 : 0.0099835 : 1.78398e-009 || TEST(0)  GOAL:0
0.992813 : 0.00709197 : 1.6693e-009 || TEST(0)  GOAL:0
0.992407 : 0.0095859 : 1.94475e-009 || TEST(0)  GOAL:0
0.00256361 : 0.986945 : 0.0101697 || TEST(1)  GOAL:1
0.00335601 : 0.973562 : 0.0166791 || TEST(1)  GOAL:1
0.00313807 : 0.924645 : 0.0732766 || TEST(1)  GOAL:1
0.00448695 : 0.975038 : 0.0171539 || TEST(1)  GOAL:1
0.00462086 : 0.95966 : 0.0195215 || TEST(1)  GOAL:1
0.00399513 : 0.895514 : 0.0736958 || TEST(1)  GOAL:1
0.0162317 : 0.99099 : 0.000188463 || TEST(1)  GOAL:1
0.00583249 : 0.974704 : 0.0083977 || TEST(1)  GOAL:1
0.00694685 : 0.994496 : 0.00111717 || TEST(1)  GOAL:1
0.00406577 : 0.972168 : 0.0147971 || TEST(1)  GOAL:1
0.00350848 : 0.995583 : 0.00226691 || TEST(1)  GOAL:1
0.00406463 : 0.920662 : 0.0574111 || TEST(1)  GOAL:1
0.00644406 : 0.993098 : 0.000785346 || TEST(1)  GOAL:1
0.00277666 : 0.990431 : 0.0062499 || TEST(1)  GOAL:1
0.00533124 : 0.872444 : 0.0702726 || TEST(1)  GOAL:1
0.0058535 : 0.993578 : 0.000795183 || TEST(1)  GOAL:1
0.00521664 : 0.575389 : 0.465343 || TEST(1)  GOAL:1
0.00509131 : 0.993562 : 0.00151504 || TEST(1)  GOAL:1
0.00674935 : 0.211005 : 0.7479 || TEST(2)  GOAL:1
0.00359918 : 0.993143 : 0.00290305 || TEST(1)  GOAL:1
0.00554273 : 0.373406 : 0.641906 || TEST(2)  GOAL:1
0.00373956 : 0.97584 : 0.0133631 || TEST(1)  GOAL:1
0.00310908 : 0.991501 : 0.00468833 || TEST(1)  GOAL:1
0.00286348 : 0.987803 : 0.00866901 || TEST(1)  GOAL:1
0.00507744 : 0.337041 : 0.671455 || TEST(2)  GOAL:1
0.0087949 : 0.994294 : 0.00028147 || TEST(1)  GOAL:1
0.00520918 : 0.993816 : 0.00153893 || TEST(1)  GOAL:1
0.00652801 : 0.994736 : 0.000670306 || TEST(1)  GOAL:1
0.00460363 : 0.993619 : 0.00162766 || TEST(1)  GOAL:1
0.00754533 : 0.0924407 : 0.902698 || TEST(2)  GOAL:1
0.00608129 : 0.829237 : 0.0853801 || TEST(1)  GOAL:1
0.00311557 : 0.954948 : 0.0393642 || TEST(1)  GOAL:1
0.003392 : 0.961273 : 0.0413773 || TEST(1)  GOAL:1
0.00564114 : 0.987088 : 0.00232324 || TEST(1)  GOAL:1
0.00459482 : 0.982285 : 0.0088436 || TEST(1)  GOAL:1
0.00495967 : 0.970873 : 0.0123667 || TEST(1)  GOAL:1
0.00389582 : 0.956977 : 0.0261315 || TEST(1)  GOAL:1
0.00417004 : 0.992408 : 0.00279742 || TEST(1)  GOAL:1
0.0120769 : 0.993263 : 0.000283097 || TEST(1)  GOAL:1
0.00462437 : 0.979019 : 0.00900333 || TEST(1)  GOAL:1
0.00585697 : 0.989201 : 0.00150578 || TEST(1)  GOAL:1
0.00475213 : 0.985215 : 0.00440392 || TEST(1)  GOAL:1
0.0034638 : 0.989527 : 0.00506859 || TEST(1)  GOAL:1
0.0159162 : 0.992115 : 0.000151546 || TEST(1)  GOAL:1
0.00454119 : 0.987211 : 0.00435258 || TEST(1)  GOAL:1
0.0124039 : 0.0012492 : 0.998699 || TEST(2)  GOAL:2
0.0112002 : 0.00872299 : 0.990984 || TEST(2)  GOAL:2
0.0105044 : 0.00252861 : 0.997418 || TEST(2)  GOAL:2
0.00986901 : 0.0084539 : 0.991116 || TEST(2)  GOAL:2
0.0118183 : 0.00187728 : 0.998064 || TEST(2)  GOAL:2
0.0107069 : 0.00143756 : 0.998504 || TEST(2)  GOAL:2
0.0113224 : 0.0641676 : 0.921952 || TEST(2)  GOAL:2
0.00969811 : 0.00346311 : 0.996465 || TEST(2)  GOAL:2
0.0107695 : 0.00381989 : 0.996211 || TEST(2)  GOAL:2
0.0108799 : 0.00142122 : 0.998498 || TEST(2)  GOAL:2
0.0080246 : 0.0268294 : 0.972396 || TEST(2)  GOAL:2
0.0100555 : 0.00822301 : 0.991857 || TEST(2)  GOAL:2
0.0101805 : 0.00427193 : 0.995688 || TEST(2)  GOAL:2
0.0128373 : 0.00480278 : 0.995241 || TEST(2)  GOAL:2
0.0138485 : 0.0019432 : 0.998065 || TEST(2)  GOAL:2
0.0112085 : 0.00307889 : 0.996813 || TEST(2)  GOAL:2
0.00985773 : 0.00178287 : 0.998081 || TEST(2)  GOAL:2
0.0116731 : 0.00884375 : 0.990655 || TEST(2)  GOAL:2
0.0107207 : 0.00143441 : 0.998514 || TEST(2)  GOAL:2
0.00768399 : 0.0576931 : 0.944459 || TEST(2)  GOAL:2
0.0100863 : 0.00406607 : 0.99571 || TEST(2)  GOAL:2
0.00814015 : 0.0108314 : 0.988943 || TEST(2)  GOAL:2
0.0071581 : 0.10527 : 0.88749 || TEST(2)  GOAL:2
0.0118162 : 0.00246278 : 0.997501 || TEST(2)  GOAL:2
0.00629809 : 0.0591236 : 0.942862 || TEST(2)  GOAL:2
0.00986834 : 0.00320611 : 0.996775 || TEST(2)  GOAL:2
0.00794388 : 0.00681246 : 0.992898 || TEST(2)  GOAL:2
0.0122303 : 0.00197771 : 0.998 || TEST(2)  GOAL:2
0.00542271 : 0.384133 : 0.603698 || TEST(2)  GOAL:2
0.00792174 : 0.0544502 : 0.941656 || TEST(2)  GOAL:2
0.0106726 : 0.00157773 : 0.998379 || TEST(2)  GOAL:2
0.0118457 : 0.00187517 : 0.998011 || TEST(2)  GOAL:2
0.00851905 : 0.0193232 : 0.979283 || TEST(2)  GOAL:2
0.00703246 : 0.139258 : 0.848626 || TEST(2)  GOAL:2
0.00935306 : 0.00664868 : 0.993337 || TEST(2)  GOAL:2
0.0117123 : 0.00174191 : 0.998217 || TEST(2)  GOAL:2
0.00987632 : 0.00515694 : 0.994897 || TEST(2)  GOAL:2
0.0112002 : 0.00872299 : 0.990984 || TEST(2)  GOAL:2
0.0113491 : 0.00171614 : 0.998216 || TEST(2)  GOAL:2
0.0117087 : 0.00152179 : 0.998423 || TEST(2)  GOAL:2
0.0108817 : 0.00334641 : 0.996654 || TEST(2)  GOAL:2
0.0100019 : 0.0119345 : 0.98863 || TEST(2)  GOAL:2
0.0091602 : 0.0119921 : 0.98792 || TEST(2)  GOAL:2
0.0113674 : 0.00295087 : 0.996818 || TEST(2)  GOAL:2
0.00874852 : 0.0361889 : 0.959249 || TEST(2)  GOAL:2
0.993327 : 0.00977485 : 1.76635e-009 || TEST(0)  GOAL:0
0.992391 : 0.0104223 : 2.00792e-009 || TEST(0)  GOAL:0
0.993176 : 0.00560009 : 1.4705e-009 || TEST(0)  GOAL:0
0.994186 : 0.00941842 : 1.56137e-009 || TEST(0)  GOAL:0
0.984489 : 0.0194542 : 4.48241e-009 || TEST(0)  GOAL:0
0.00354468 : 0.911715 : 0.087566 || TEST(1)  GOAL:1
0.00289664 : 0.985393 : 0.010767 || TEST(1)  GOAL:1
0.00308602 : 0.942285 : 0.0597195 || TEST(1)  GOAL:1
0.00424122 : 0.908846 : 0.0683693 || TEST(1)  GOAL:1
0.00442661 : 0.939748 : 0.027919 || TEST(1)  GOAL:1
0.00858418 : 0.016976 : 0.982399 || TEST(2)  GOAL:2
0.0114346 : 0.00102701 : 0.998936 || TEST(2)  GOAL:2
0.00808999 : 0.0776064 : 0.927094 || TEST(2)  GOAL:2
0.0109394 : 0.0021559 : 0.997777 || TEST(2)  GOAL:2
0.00712682 : 0.102163 : 0.898999 || TEST(2)  GOAL:2
success 146 out of 150 or 97.3333%

C:\Users\John\Documents\GitHub\CS470\HW4>make tar
tar -cvf nn.tar makefile NN.cpp Matrix.cpp NN.h Matrix.h
makefile
NN.cpp
Matrix.cpp
NN.h
Matrix.h
ls -l nn*tar
-rw-r--r-- 1 John Administrators 20480 Dec 10 17:41 nn.tar

C:\Users\John\Documents\GitHub\CS470\HW4>
