
-bash-4.1$ rm *.o
-bash-4.1$ make
g++  -g -Wall  -c -o NN.o NN.cpp
g++  -g -Wall  -c -o Matrix.o Matrix.cpp
g++ -g -Wall -DCPLUSPLUS -DMallocHelp  NN.o Matrix.o -lm -o nn
-bash-4.1$ ./nn
150 5
0.991576 : 0.0103644 : 0.000121607 || TEST(0)  GOAL:0
0.00486677 : 0.993677 : 0.00581631 || TEST(1)  GOAL:1
0.00506039 : 0.989906 : 0.0091467 || TEST(1)  GOAL:1
0.00526323 : 0.976096 : 0.0228996 || TEST(1)  GOAL:1
0.00623572 : 0.984713 : 0.00896574 || TEST(1)  GOAL:1
0.00533619 : 0.988922 : 0.00879847 || TEST(1)  GOAL:1
0.00534635 : 0.971954 : 0.0265144 || TEST(1)  GOAL:1
0.0344333 : 0.975071 : 0.000959543 || TEST(1)  GOAL:1
0.00629718 : 0.987928 : 0.00681118 || TEST(1)  GOAL:1
0.0211366 : 0.979819 : 0.00137312 || TEST(1)  GOAL:1
0.00528644 : 0.988518 : 0.00958357 || TEST(1)  GOAL:1
0.00631326 : 0.995249 : 0.00254709 || TEST(1)  GOAL:1
0.00530836 : 0.979861 : 0.0180801 || TEST(1)  GOAL:1
0.00659474 : 0.995438 : 0.00234507 || TEST(1)  GOAL:1
0.004892 : 0.994561 : 0.00483883 || TEST(1)  GOAL:1
0.00553074 : 0.970497 : 0.0253367 || TEST(1)  GOAL:1
0.00609397 : 0.996281 : 0.0021046 || TEST(1)  GOAL:1
0.00629375 : 0.75999 : 0.22669 || TEST(1)  GOAL:1
0.00677701 : 0.994827 : 0.00245347 || TEST(1)  GOAL:1
0.00656957 : 0.533879 : 0.471737 || TEST(1)  GOAL:1
0.00530449 : 0.995312 : 0.00349074 || TEST(1)  GOAL:1
0.00629415 : 0.70867 : 0.288694 || TEST(1)  GOAL:1
0.00507975 : 0.992643 : 0.0061962 || TEST(1)  GOAL:1
0.00499623 : 0.995083 : 0.00412198 || TEST(1)  GOAL:1
0.00496376 : 0.993422 : 0.00582974 || TEST(1)  GOAL:1
0.00635751 : 0.645582 : 0.362828 || TEST(1)  GOAL:1
0.0102696 : 0.994347 : 0.0015177 || TEST(1)  GOAL:1
0.00759248 : 0.993944 : 0.00237135 || TEST(1)  GOAL:1
0.00947529 : 0.993822 : 0.00173896 || TEST(1)  GOAL:1
0.00592396 : 0.995507 : 0.00271618 || TEST(1)  GOAL:1
0.00689946 : 0.337199 : 0.669617 || TEST(2)  GOAL:1
0.00563583 : 0.964831 : 0.0294245 || TEST(1)  GOAL:1
0.00516446 : 0.983647 : 0.0153286 || TEST(1)  GOAL:1
0.00542852 : 0.98117 : 0.0158421 || TEST(1)  GOAL:1
0.00548699 : 0.994924 : 0.00352007 || TEST(1)  GOAL:1
0.00604735 : 0.989874 : 0.00611319 || TEST(1)  GOAL:1
0.00560346 : 0.990649 : 0.00639984 || TEST(1)  GOAL:1
0.00517527 : 0.987572 : 0.010965 || TEST(1)  GOAL:1
0.0057885 : 0.994806 : 0.00327583 || TEST(1)  GOAL:1
0.0309697 : 0.977324 : 0.00102122 || TEST(1)  GOAL:1
0.005574 : 0.991302 : 0.00611174 || TEST(1)  GOAL:1
0.00541584 : 0.995876 : 0.00287206 || TEST(1)  GOAL:1
0.00537613 : 0.993993 : 0.00439732 || TEST(1)  GOAL:1
0.00507117 : 0.994668 : 0.00436961 || TEST(1)  GOAL:1
0.0379076 : 0.974907 : 0.000968029 || TEST(1)  GOAL:1
0.00551198 : 0.993798 : 0.00434575 || TEST(1)  GOAL:1
0.00920158 : 0.00420333 : 0.996568 || TEST(2)  GOAL:2
0.00829524 : 0.0231196 : 0.97927 || TEST(2)  GOAL:2
0.00887354 : 0.00759964 : 0.993714 || TEST(2)  GOAL:2
0.00811758 : 0.0317556 : 0.972204 || TEST(2)  GOAL:2
0.00902744 : 0.00573141 : 0.995269 || TEST(2)  GOAL:2
0.00909285 : 0.00512686 : 0.995818 || TEST(2)  GOAL:2
0.00753763 : 0.173441 : 0.796089 || TEST(2)  GOAL:2
0.00857252 : 0.0132368 : 0.988894 || TEST(2)  GOAL:2
0.00862915 : 0.01189 : 0.989926 || TEST(2)  GOAL:2
0.00913403 : 0.00476782 : 0.996119 || TEST(2)  GOAL:2
0.00774202 : 0.0669168 : 0.940432 || TEST(2)  GOAL:2
0.00832217 : 0.0215318 : 0.981312 || TEST(2)  GOAL:2
0.00866714 : 0.0111272 : 0.990664 || TEST(2)  GOAL:2
0.00869431 : 0.0107322 : 0.990431 || TEST(2)  GOAL:2
0.009107 : 0.00491737 : 0.995857 || TEST(2)  GOAL:2
0.00886034 : 0.00779327 : 0.993506 || TEST(2)  GOAL:2
0.00893589 : 0.00680021 : 0.994419 || TEST(2)  GOAL:2
0.00835747 : 0.0208362 : 0.98117 || TEST(2)  GOAL:2
0.00908796 : 0.00517035 : 0.99578 || TEST(2)  GOAL:2
0.00740636 : 0.134213 : 0.874893 || TEST(2)  GOAL:2
0.0086049 : 0.0124791 : 0.989517 || TEST(2)  GOAL:2
0.00791558 : 0.0467732 : 0.959273 || TEST(2)  GOAL:2
0.00698393 : 0.289717 : 0.721606 || TEST(2)  GOAL:2
0.00891958 : 0.00695798 : 0.994191 || TEST(2)  GOAL:2
0.00697511 : 0.27762 : 0.740027 || TEST(2)  GOAL:2
0.00870631 : 0.0103278 : 0.991393 || TEST(2)  GOAL:2
0.00816859 : 0.0285679 : 0.975598 || TEST(2)  GOAL:2
0.00903711 : 0.00562087 : 0.995339 || TEST(2)  GOAL:2
0.0061025 : 0.790334 : 0.208827 || TEST(1)  GOAL:2
0.00685448 : 0.349166 : 0.659501 || TEST(2)  GOAL:2
0.00910804 : 0.00499292 : 0.99593 || TEST(2)  GOAL:2
0.00904028 : 0.00561109 : 0.995378 || TEST(2)  GOAL:2
0.00765021 : 0.0796035 : 0.928567 || TEST(2)  GOAL:2
0.00687019 : 0.354257 : 0.654857 || TEST(2)  GOAL:2
0.00846869 : 0.0161668 : 0.986314 || TEST(2)  GOAL:2
0.00909758 : 0.00507013 : 0.995843 || TEST(2)  GOAL:2
0.00871198 : 0.0102724 : 0.991412 || TEST(2)  GOAL:2
0.00829524 : 0.0231196 : 0.97927 || TEST(2)  GOAL:2
0.00906389 : 0.0053871 : 0.995583 || TEST(2)  GOAL:2
0.00914094 : 0.00469735 : 0.996163 || TEST(2)  GOAL:2
0.00887241 : 0.00763495 : 0.993652 || TEST(2)  GOAL:2
0.00825387 : 0.0250567 : 0.977859 || TEST(2)  GOAL:2
0.00815903 : 0.0295002 : 0.974364 || TEST(2)  GOAL:2
0.00883231 : 0.00819402 : 0.993161 || TEST(2)  GOAL:2
0.00741032 : 0.131949 : 0.87661 || TEST(2)  GOAL:2
0.992585 : 0.00733054 : 8.44875e-05 || TEST(0)  GOAL:0
0.992214 : 0.00817097 : 9.35025e-05 || TEST(0)  GOAL:0
0.990311 : 0.0138029 : 0.000156781 || TEST(0)  GOAL:0
0.992769 : 0.00613074 : 6.61283e-05 || TEST(0)  GOAL:0
0.981262 : 0.024559 : 0.000153769 || TEST(0)  GOAL:0
0.00543512 : 0.966414 : 0.0314472 || TEST(1)  GOAL:1
0.00495654 : 0.993349 : 0.00590234 || TEST(1)  GOAL:1
0.00523732 : 0.979706 : 0.0190586 || TEST(1)  GOAL:1
0.00545114 : 0.971726 : 0.0252795 || TEST(1)  GOAL:1
0.00520966 : 0.984213 : 0.0143505 || TEST(1)  GOAL:1
0.00776314 : 0.0637387 : 0.943267 || TEST(2)  GOAL:2
0.00925229 : 0.00386816 : 0.996868 || TEST(2)  GOAL:2
0.00713461 : 0.240621 : 0.759704 || TEST(2)  GOAL:2
0.00898503 : 0.00621232 : 0.994889 || TEST(2)  GOAL:2
0.00712114 : 0.231443 : 0.778924 || TEST(2)  GOAL:2
success 148 out of 150 or 98.6667%
