400 3
7.528 6.882 7.204
6.736 7.390 6.817
7.806 6.977 6.946
6.807 7.006 7.028
7.179 7.128 7.158
7.383 6.984 6.660
6.474 6.746 6.487
7.303 7.076 6.111
7.653 7.403 6.959
6.848 6.671 6.607
6.131 7.549 6.312
7.490 6.557 6.958
7.625 6.807 6.918
7.194 6.378 6.926
7.167 6.685 6.451
7.317 7.663 7.229
7.209 6.942 6.214
7.107 7.397 7.284
6.749 7.237 6.685
7.117 6.836 6.756
7.862 7.071 6.783
7.194 6.532 7.576
6.877 7.116 6.751
7.296 6.996 7.082
7.214 6.779 6.471
6.640 6.814 6.310
6.976 6.545 6.964
6.577 6.891 7.343
6.685 6.457 7.323
6.827 6.483 6.312
6.949 6.869 7.310
7.078 7.134 7.339
6.482 7.103 6.918
6.750 7.029 6.798
7.110 7.530 7.030
6.444 7.513 7.959
6.807 7.618 6.528
7.195 7.313 7.508
6.957 6.683 6.889
7.519 6.584 6.210
7.032 7.063 7.100
6.653 7.243 6.872
5.797 6.757 7.985
7.161 7.118 6.827
6.617 6.079 6.547
6.945 6.792 7.232
7.449 7.641 7.013
7.018 6.107 7.752
6.815 6.330 6.997
7.053 7.379 6.855
6.878 7.310 6.561
6.635 7.308 7.342
7.034 6.562 7.357
6.770 7.512 6.779
7.336 6.999 7.321
6.627 6.575 7.305
6.659 7.946 6.974
6.965 6.755 6.519
7.303 7.100 6.746
7.050 7.002 6.860
6.882 6.535 7.091
6.977 7.137 6.505
6.869 6.523 6.737
6.843 7.303 7.555
6.951 6.318 7.490
7.610 6.984 6.306
6.681 7.093 6.951
7.194 7.293 6.645
7.115 7.460 7.236
6.222 7.028 7.138
6.942 6.768 6.960
6.949 6.864 7.612
7.211 7.276 7.091
7.472 7.019 6.863
7.250 7.091 7.106
6.990 7.450 7.224
6.883 7.769 6.983
6.342 7.260 6.759
6.916 7.397 6.940
7.203 7.047 6.953
6.645 7.447 7.085
6.387 7.044 6.445
7.285 6.354 6.883
6.630 6.352 6.534
6.946 7.635 7.119
6.924 7.011 7.515
6.887 7.299 6.908
6.512 7.081 6.514
6.971 8.178 7.110
6.701 6.846 6.721
7.118 6.530 7.082
6.971 6.273 6.658
7.465 6.993 7.244
7.323 7.295 7.201
7.255 7.284 7.074
6.554 6.848 7.458
7.077 6.956 6.659
7.115 6.473 7.503
6.897 7.567 7.282
7.462 6.650 6.974
4.052 4.379 4.036
4.190 -0.944 4.103
3.871 5.879 3.917
3.924 4.007 3.966
4.152 3.861 3.885
3.849 4.415 4.025
3.924 2.389 3.958
3.964 2.258 3.808
4.032 4.663 3.982
4.012 7.434 4.028
4.025 5.525 3.984
3.864 7.345 4.024
3.994 5.189 4.063
4.005 6.704 4.023
3.927 4.757 3.995
3.906 8.445 4.190
4.029 3.667 3.978
4.001 5.916 4.017
4.018 4.042 4.005
4.013 5.434 3.837
4.037 6.775 3.955
4.002 4.481 3.873
4.007 4.383 3.884
4.047 3.367 3.895
3.830 3.413 4.091
3.808 5.983 3.928
4.066 2.798 4.049
4.029 4.505 3.924
3.927 4.753 3.814
3.898 6.483 4.009
3.952 7.061 3.974
3.956 6.354 3.950
3.955 3.436 3.979
4.004 3.938 3.979
4.030 3.569 3.970
3.901 5.700 4.063
4.111 1.783 3.949
3.946 1.597 4.086
4.086 5.983 4.003
3.946 3.109 3.871
4.028 0.228 4.161
3.850 3.851 3.991
3.878 4.038 3.888
3.982 5.325 4.046
4.126 2.251 4.088
3.941 4.830 3.965
3.971 0.781 4.014
3.903 3.577 3.865
3.958 3.366 4.073
3.825 5.132 3.985
3.957 3.975 3.985
3.964 2.062 3.878
3.894 1.828 4.094
4.049 5.828 3.998
3.893 5.466 4.069
4.076 3.040 3.731
4.030 1.908 3.746
3.920 1.897 3.988
3.994 3.067 3.953
3.939 6.956 4.014
4.071 0.204 3.793
3.960 8.726 4.048
4.087 2.941 4.011
4.079 3.405 4.124
3.883 4.435 4.170
4.052 3.962 3.946
4.109 3.937 4.181
4.019 3.343 4.150
4.033 7.056 4.002
3.984 5.867 3.985
4.178 5.679 3.981
4.030 4.528 4.030
4.008 7.102 4.062
4.116 6.747 3.992
4.075 2.736 3.873
4.000 3.963 3.923
4.012 5.228 4.040
4.065 0.667 3.863
3.947 3.565 4.011
4.065 3.126 4.002
4.118 5.192 4.188
3.964 7.635 3.796
4.077 3.485 4.096
4.038 4.891 4.001
3.977 4.916 3.753
3.863 2.582 3.998
4.060 4.109 3.948
3.930 2.827 3.990
3.904 0.030 3.978
4.104 2.123 3.947
3.895 2.311 4.091
4.040 2.698 3.969
4.061 2.927 4.013
4.047 3.271 3.902
3.894 4.096 3.969
4.021 0.821 4.054
3.973 5.984 3.975
4.060 3.778 4.144
3.824 4.005 4.141
4.144 9.255 3.871
1.090 1.908 4.426
0.034 1.641 4.453
0.612 2.602 4.795
1.592 2.317 5.137
0.760 2.437 4.943
0.776 1.678 4.976
0.955 0.932 4.847
0.713 2.415 4.923
1.267 2.125 5.683
0.861 2.348 4.555
1.106 2.326 4.676
0.534 1.948 5.442
1.031 2.752 5.128
0.931 1.908 5.625
1.715 2.823 5.051
1.492 2.097 5.567
1.319 1.640 4.097
0.578 2.751 5.008
0.943 1.478 4.432
2.392 0.987 5.193
1.317 1.248 4.841
0.984 2.538 4.410
0.515 2.027 4.794
0.694 1.904 5.369
-0.224 2.183 4.694
0.700 2.045 4.839
1.859 2.251 5.223
0.872 1.976 5.169
1.166 1.118 5.077
0.968 1.962 5.495
0.496 2.546 4.696
0.841 2.141 6.314
1.559 1.351 5.409
0.161 1.135 4.002
0.832 2.678 5.569
0.884 2.362 5.206
-0.031 1.214 4.779
0.478 2.200 4.275
0.185 1.956 5.158
1.488 2.629 4.918
1.506 1.274 4.308
0.905 1.597 5.096
0.476 1.728 4.919
0.888 1.428 4.758
2.128 2.227 5.044
1.346 1.523 4.882
0.820 2.158 5.499
1.674 3.133 5.187
1.416 2.351 5.003
1.865 2.387 4.640
1.238 1.414 4.904
1.699 1.546 4.259
0.581 1.783 5.073
0.972 2.239 4.580
1.094 2.547 5.330
1.466 1.861 4.800
0.818 1.882 5.976
0.557 2.133 4.815
0.951 2.076 4.897
1.353 1.227 4.700
0.924 2.750 5.386
1.673 2.080 5.722
1.101 2.339 5.046
1.941 2.571 4.439
1.054 2.527 5.153
0.192 2.137 5.879
0.985 3.280 5.372
1.469 2.717 4.725
0.907 1.536 4.785
0.570 2.408 4.793
1.256 2.521 4.514
1.584 1.204 5.062
0.151 2.358 4.946
1.318 2.395 4.677
0.865 2.161 5.453
0.638 2.464 4.868
1.108 2.566 5.431
1.152 1.992 5.475
0.900 1.074 5.285
0.519 1.566 5.205
1.043 2.348 5.848
1.205 1.032 4.900
1.132 1.762 5.146
1.336 2.263 5.147
0.245 2.266 4.815
0.559 1.378 4.959
1.326 2.620 5.636
0.859 2.206 4.838
1.754 1.500 4.038
0.494 1.903 4.694
2.555 2.245 5.589
0.646 1.312 4.907
1.511 2.324 4.951
1.670 1.974 4.512
0.803 1.509 5.095
1.085 1.375 4.705
1.171 2.772 5.232
1.332 2.280 5.000
1.135 2.187 4.897
1.091 1.564 5.247
